question,answer,level,correctness,clarity,terminology,efficiency,keywords
7. How do you use Undo and Redo in Excel?,"Undo allows you to reverse your last action (Ctrl + Z), while Redo re-applies an undone action (Ctrl + Y). These shortcuts are useful for correcting mistakes or reapplying changes.",,7.0,7.0,0.0,10.0,undo redo undo redo undo
10. How do you merge cells in Excel?,"Tomerge cells, select the cells you want to combine and clickMerge & Centerin the Home tab. This is often used for creating headings or labels.",,10.0,10.0,0.0,10.0,cells want combine merge cells
12. How do you wrap text in a cell?,"Towrap text, select a cell and clickWrap Textin the Home tab. This adjusts the cell content to fit within its boundaries without spilling over into adjacent cells.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
13. What are cell references in Excel?,"Cell referencesspecify a cell’s location in a formula. Relative references (e.g., A1) adjust when copied, absolute references (e.g., $A$1) remain fixed, and mixed references (e.g., $A1) partially adjust.",,1.0,1.0,1.0,0.0,what cell references cell referencesspecify
14. How do you delete a worksheet?,"Right-click the sheet tab and selectDelete.Deleting a sheetpermanently removes its data, so it’s recommended to back up your workbook first.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
16. What is a formula in Excel?,"A formula is an expression that calculates the value of a cell. It begins with=and can include operators, cell references, and functions (e.g.,=A1+B1).",,1.0,1.0,0.0,10.0,what formula formula expression that
17. What is conditional formatting in Excel?,"Conditional formattinghighlights cells based on rules you set. For example, you can apply red shading to cells with values less than 50 usingHome > Conditional Formatting.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
19. How do you apply filters in Excel?,"To filter data, select your dataset and clickData > Filter. Dropdown arrows appear, allowing you to filter rows based on specific criteria.",,0.0,10.0,0.0,10.0,filter data select your dataset
20. What is the VLOOKUP function?,"VLOOKUPsearches for a value in the first column of a table and returns a value from a specified column in the same row. For example,=VLOOKUP(""Apple"", A1:C10, 2, FALSE)looks for ""Apple"" in column A and returns the corresponding value from column B.",,0.0,10.0,0.0,10.0,vlookupsearches value first column table
24. How do you remove duplicates in Excel?,"Select your data, then go toData > Remove Duplicates. This helps clean datasets by eliminating redundant entries based on selected columns.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
25. What is data validation?,"Data validationrestricts data entry to specified types or ranges. For instance, you can limit a cell to accept only whole numbers between 1 and 100.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
30. How do INDEX and MATCH work together?,"INDEXreturns the value of a cell at a specified row and column, while MATCH finds the position of a value in a range. Combined, they perform advanced lookups. For example,=INDEX(A1:C10, MATCH(""Apple"", A1:A10, 0), 2)finds ""Apple"" in column A and returns the corresponding value from column B.",,1.0,10.0,1.0,10.0,index match work together indexreturns
33. What is the TEXT function?,"The TEXT function converts a number to text in a specified format. For example,=TEXT(A1, ""MM/DD/YYYY"")converts a date into a readable format like 01/01/2025.",,1.0,1.0,1.0,0.0,text function converts number text
42. What is the NETWORKDAYS function?,"The NETWORKDAYS function calculates the number of working days between two dates, excluding weekends and holidays. For example,=NETWORKDAYS(A1, A2, Holidays)returns the count of workdays between A1 and A2.",,1.0,2.0,1.0,2.0,networkdays function calculates number working
45. How do you calculate CAGR (Compound Annual Growth Rate) in Excel?,"CAGR is calculated using the formula=(Ending Value / Starting Value)^(1/Number of Years) - 1. For example,=(20000 / 10000)^(1/5) - 1calculates a 14.87% CAGR over five years.",,1.0,1.0,1.0,5.0,calculate cagr compound annual growth
50. How do you use the DATEDIF function?,"DATEDIF calculates the difference between two dates in years, months, or days. For example,=DATEDIF(A1, B1, ""Y"")returns the number of years between two dates.",,1.0,1.0,0.0,10.0,datedif returns number years between
51. What is the FILTER function?,"The FILTER function dynamically returns rows or columns based on criteria. For example,=FILTER(A1:A10, B1:B10=""Yes"")filters rows where column B equals ""Yes.""",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
66. How do you split names into first and last names?,"UseText to Columnsor formulas like=LEFT(A1, FIND("" "", A1)-1)for the first name and=RIGHT(A1, LEN(A1)-FIND("" "", A1))for the last name.",,1.0,1.0,1.0,1.0,usetext columnsor formulas like left
68. What is the MAKEARRAY function in Excel?,"MAKEARRAY creates an array based on a custom formula. For example,=MAKEARRAY(3, 3, LAMBDA(row, col, row*col))generates a 3x3 array with the product of row and column numbers.",,3.0,3.0,3.0,3.0,what makearray function makearray creates
70. How do you calculate moving averages?,"UseAVERAGEwith dynamic ranges or the Analysis ToolPak for a built-in Moving Average feature. For example,=AVERAGE(A1:A3)calculates a 3-period moving average.",,1.0,3.0,3.0,0.0,average calculates period moving average
79. How do you refresh Excel data connected to Power BI?,UseData > Refresh Allto sync Excel files with live Power BI datasets. Ensure the dataset is stored in the cloud for automatic updates.,,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
90. How do you identify outliers in a dataset?,Use statistical formulas like=QUARTILEand calculate the interquartile range (IQR). Highlight values outside the range with conditional formatting.,,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency
91. What is the purpose of dynamic named ranges in Excel?,"Dynamic named ranges automatically adjust their size when new data is added. Use theOFFSETfunction to define them, such as=OFFSET(A1, 0, 0, COUNTA(A:A)).",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
99. What is the difference between absolute and relative cell references?,"Absolute references ($A$1) remain constant when copied, while relative references (A1) adjust relative to their new location.",,1.0,1.0,0.0,10.0,absolute references remain constant when
102. How do you calculate the correlation between two datasets?,"Use theCORRELfunction to calculate the correlation coefficient. For example,=CORREL(A1:A10, B1:B10)measures the strength of the relationship between two variables.",,1.0,10.0,1.0,10.0,thecorrelfunction calculate correlation coefficient example
111. How do you use the SEQUENCE function in Excel 365?,"The SEQUENCE function generates a numeric array in rows and columns. For example,=SEQUENCE(5, 2)creates a 5x2 array with sequential numbers starting from 1.",,5.0,2.0,5.0,2.0,sequence function sequence function generates
113. How do you use the RANDARRAY function?,"RANDARRAY generates an array of random numbers within a specified range. For example,=RANDARRAY(5, 1, 1, 100, TRUE)creates 5 random integers between 1 and 100.",,5.0,1.0,1.0,5.0,randarray generates array random numbers
114. How do you use the TEXTJOIN function?,"TEXTJOIN combines text from multiple ranges or arrays with a specified delimiter. For example,=TEXTJOIN("", "", TRUE, A1:A5)joins text in A1 through A5, separated by commas.",,1.0,5.0,1.0,5.0,textjoin combines text from multiple
115. How do you use the TOROW function?,"The TOROW function converts a range of cells into a single row. For example,=TOROW(A1:C3)consolidates the range A1:C3 into a horizontal array.",,1.0,3.0,1.0,3.0,torow function converts range cells
116. How do you use the TOCOL function?,"The TOCOL function converts a range of cells into a single column. For example,=TOCOL(A1:C3)consolidates the range A1:C3 into a vertical array.",,1.0,3.0,1.0,3.0,tocol function converts range cells
119. How do you create a cumulative sum in Excel?,Use a running total formula like=SUM($A$1:A1)and drag it down to calculate the cumulative total for each row.,,1.0,1.0,0.0,10.0,create cumulative running total formula
120. How do you use the SUBSTITUTE function?,"SUBSTITUTE replaces occurrences of a specified text within a string. For example,=SUBSTITUTE(A1, ""old"", ""new"")replaces all instances of ""old"" with ""new"" in cell A1.",,1.0,1.0,0.0,10.0,substitute replaces occurrences specified text
121. How do you calculate working days between two dates?,"Use theNETWORKDAYSfunction to calculate the number of working days between two dates. For example,=NETWORKDAYS(A1, B1)excludes weekends and optionally holidays.",,1.0,1.0,0.0,10.0,thenetworkdaysfunction calculate number working days
125. How do you use the LAMBDA function in Excel 365?,"LAMBDA creates custom reusable functions. For example,=LAMBDA(x, x^2)(5)calculates the square of 5 and returns 25.",,2.0,5.0,5.0,0.0,lambda function lambda creates custom
130. How do you use the AVERAGEIF function?,"AVERAGEIF calculates the average of a range based on a condition. For example,=AVERAGEIF(A1:A10, "">50"")returns the average of numbers greater than 50.",,1.0,10.0,0.0,10.0,averageif returns average numbers greater
131. How do you highlight top 10 values in Excel?,Use conditional formatting with the ruleTop/Bottom Rules > Top 10 Itemsto automatically highlight the highest values in a dataset.,,10.0,10.0,0.0,10.0,highlight values conditional formatting with
140. How do you use the OFFSET function for dynamic ranges?,"OFFSET defines a range based on a reference point. For example,=OFFSET(A1, 0, 0, COUNTA(A:A))adjusts dynamically as new data is added.",,1.0,0.0,0.0,0.0,offset defines range based reference
142. How do you analyze time-series data in Excel?,Use line charts with trendlines or theFORECAST.LINEARfunction to identify patterns and make predictions.,,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
143. How do you create a formula to compare two lists?,"Use=IF(COUNTIF(List1, List2)>0, ""Match"", ""No Match"")to compare items in two lists.",,1.0,2.0,0.0,0.0,countif list list match match
149. How do you highlight weekends in a date range?,"Use conditional formatting with a formula like=OR(WEEKDAY(A1)=1, WEEKDAY(A1)=7)to identify weekends.",,1.0,1.0,1.0,7.0,highlight weekends date range conditional
154. How do you calculate growth rates in Excel?,Use the formula=((Ending Value / Starting Value)^(1/Years)) - 1to calculate Compound Annual Growth Rate (CAGR).,,1.0,1.0,0.0,10.0,calculate growth rates formula ending
170. How do you calculate the conversion rate in Excel?,"Conversion rate is calculated as(Conversions / Total Visitors) * 100. For instance, if there are 500 visitors and 50 conversions, the conversion rate is(50 / 500) * 100 = 10%.",,10.0,0.0,10.0,0.0,calculate conversion calculate conversion conversion
173. How do you calculate loan payments in Excel?,"Use thePMTfunction. For example,=PMT(5%/12, 60, -10000)calculates the monthly payment for a loan of $10,000 with a 5% annual interest rate over 60 months.",,5.0,10.0,0.0,5.0,calculate loan payments thepmtfunction example
176. How do you calculate employee turnover rates in Excel?,"Turnover rate is calculated as(Number of Leavers / Average Number of Employees) * 100. For example, if 10 employees leave out of 200, the rate is(10 / 200) * 100 = 5%.",,10.0,10.0,5.0,0.0,calculate employee turnover rates calculate
187. How do you prepare tax computation sheets in Excel?,"Use logical functions likeIFto calculate applicable tax rates. For example,=IF(Income<=500000, Income*0.05, Income*0.1)applies tiered tax rates.",,0.05,0.1,0.0,10.0,prepare computation sheets logical functions
189. How do you calculate dividend payouts in Excel?,"Use the formulaNet Profit * Dividend Payout Ratio. For example, if net profit is $1,000,000 and the payout ratio is 30%, the dividend is$300,000.",,1.0,0.0,0.0,0.0,calculate dividend payouts formulanet profit
191. How do you use Excel shortcuts to speed up workflows?,"Memorize common shortcuts likeCtrl + C(copy),Ctrl + V(paste), andAlt + H + O + I(auto-fit column width) for faster navigation and data entry.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
199. How do you quickly sum data in Excel?,Use theAlt + =shortcut to automatically insert aSUMformula for a selected range.,,0.0,10.0,0.0,10.0,quickly data quickly data thealt
